,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
0,Manchester United,Goalkeeper,189.0,32.0,104,0.0,0.0,0.009584665,0.0,0.0,1.217252396,0.335463259,9390,42,5,13,15000000,70000000
3,Manchester United,Defender Centre-Back,175.0,25.0,82,0.028089888,0.056179775,0.224719101,0.0,0.0,0.0,0.0,6408,175,22,9,50000000,50000000
4,Manchester United,Defender Centre-Back,191.0,30.0,63,0.017889088,0.017889088,0.053667263,0.0,0.0,0.0,0.0,5031,238,51,21,40000000,80000000
5,Manchester United,Defender Centre-Back,194.0,30.0,68,0.037799244,0.0,0.302393952,0.018899622,0.0,0.0,0.0,4762,148,27,1,25000000,70000000
6,Manchester United,Defender Centre-Back,187.0,28.0,70,0.0,0.032900749,0.115152623,0.0,0.0,0.0,0.0,5471,95,19,10,15000000,35000000
8,Manchester United,Defender Centre-Back,186.0,21.0,34,0.0,0.0,0.130529369,0.0,0.0,0.0,0.0,2758,47,13,0,2000000,2000000
9,Manchester United,Defender Left-Back,178.0,27.0,74,0.015374103,0.169115135,0.353604373,0.0,0.0,0.0,0.0,5854,443,70,4,35000000,42000000
10,Manchester United,Defender Left-Back,169.0,23.0,89,0.012619181,0.063095906,0.227145261,0.0,0.0,0.0,0.0,7132,182,15,3,22000000,22000000
11,Manchester United,Defender Left-Back,180.0,22.0,34,0.0,0.033507074,0.335070737,0.0,0.0,0.0,0.0,2686,175,28,1,10000000,12000000
12,Manchester United,Defender Right-Back,183.0,24.0,72,0.032292788,0.048439182,0.226049516,0.0,0.0,0.0,0.0,5574,328,49,3,35000000,35000000
13,Manchester United,Defender Right-Back,183.0,25.0,60,0.0,0.018816642,0.094083211,0.0,0.018816642,0.0,0.0,4783,126,20,1,22000000,40000000
14,Manchester United,midfield-DefensiveMidfield,185.0,31.0,101,0.090817356,0.124873865,0.329212916,0.0,0.022704339,0.0,0.0,7928,174,31,23,50000000,80000000
15,Manchester United,midfield-DefensiveMidfield,191.0,26.0,76,0.096010241,0.038404096,0.384040964,0.0,0.0,0.0,0.0,4687,249,53,2,25000000,35000000
16,Manchester United,midfield-CentralMidfield,182.0,31.0,55,0.067214339,0.313666916,0.089619119,0.0,0.0,0.0,0.0,4017,0,0,10,25000000,100000000
17,Manchester United,midfield-CentralMidfield,177.0,29.0,74,0.144046095,0.086427657,0.230473752,0.0,0.0,0.0,0.0,3124,280,35,8,20000000,42000000
18,Manchester United,midfield-CentralMidfield,169.0,30.0,92,0.184842884,0.22181146,0.33271719,0.0,0.0,0.0,0.0,4869,45,10,11,20000000,50000000
20,Manchester United,midfield-CentralMidfield,181.0,20.0,39,0.129124821,0.06456241,0.225968436,0.0,0.0,0.0,0.0,2788,0,0,1,800000,800000
21,Manchester United,midfield-CentralMidfield,175.0,18.0,51,0.153758542,0.102505695,0.0,0.0,0.0,0.0,0.0,3512,0,0,1,800000,800000
22,Manchester United,midfield-AttackingMidfield,179.0,28.0,105,0.23933518,0.289196676,0.219390582,0.0,0.0,0.0,0.0,9025,14,2,11,75000000,90000000
